SpotID,Point1_X,Point1_Y,Point2_X,Point2_Y,Point3_X,Point3_Y,Point4_X,Point4_Y
SP1,104,862,310,856,308,909,97,908
SP2,312,854,502,843,526,907,315,905
SP3,500,844,687,829,746,909,526,907
SP4,687,834,882,808,961,908,745,908
SP5,884,806,1050,776,1190,908,965,907
SP6,1056,778,1209,769,1370,894,1194,908
SP7,1220,774,1364,747,1548,865,1371,891
SP8,1368,749,1487,726,1615,776,1555,860
SP9,1495,728,1577,724,1614,743,1614,776
SP10,38,639,165,637,150,711,2,712
SP11,162,643,296,640,301,704,151,711
SP12,296,638,420,634,444,699,303,704
SP13,422,630,544,627,593,692,448,704
SP14,551,626,662,612,730,691,597,694
SP15,665,610,786,612,859,673,732,688
SP16,790,616,915,596,992,663,865,674
SP17,923,591,1015,580,1114,654,996,664
SP18,1018,581,1114,565,1229,645,1112,656
SP19,1121,568,1213,583,1331,633,1232,647
SP20,1221,585,1336,562,1417,618,1334,634
SP21,63,594,176,592,164,642,35,633
SP22,173,596,297,592,299,639,159,635
SP23,298,592,402,586,422,625,303,633
SP24,405,585,523,580,552,624,420,628
SP25,527,585,617,570,665,611,556,625
SP26,621,571,725,570,784,613,670,617
SP27,729,572,846,547,909,591,787,612
SP28,852,544,951,538,1016,575,927,593
SP29,951,539,1015,546,1108,575,1014,581
SP30,1025,548,1141,527,1227,580,1112,577
SP31,1155,530,1242,519,1290,556,1223,579
