SpotID,Point1_X,Point1_Y,Point2_X,Point2_Y,Point3_X,Point3_Y,Point4_X,Point4_Y
SP1,23,682,520,682,520,1080,23,1080
SP2,557,662,882,662,882,1070,557,1070
SP3,858,614,1301,614,1301,1011,858,1011
SP4,1253,596,1764,596,1764,1012,1253,1012
SP5,1840,640,1919,640,1919,701,1840,701
SP6,98,375,300,375,300,556,98,556
SP7,247,295,429,295,429,458,247,458
SP8,419,344,620,344,620,524,419,524
SP9,651,358,779,358,779,460,651,460
SP10,812,352,935,352,935,480,812,480
SP11,970,356,1097,356,1097,459,970,459
SP12,1106,311,1292,311,1292,478,1106,478
SP13,1271,319,1452,319,1452,481,1271,481
SP14,1427,303,1666,303,1666,518,1427,518
SP15,1703,321,1919,321,1919,515,1703,515
SP16,404,260,513,260,513,358,404,358
SP17,557,233,643,233,643,308,557,308
SP18,959,272,1068,272,1068,372,959,372
SP19,1648,220,1751,220,1751,312,1648,312
SP20,1736,221,1857,221,1857,329,1736,329
SP21,655,231,735,231,735,304,655,304
SP22,743,226,822,226,822,295,743,295
SP23,836,220,912,220,912,287,836,287
SP24,937,230,1001,230,1001,280,937,280
SP25,1085,219,1169,219,1169,288,1085,288
SP26,1333,247,1399,247,1399,306,1333,306
SP27,531,158,592,158,592,212,531,212
SP28,874,183,919,183,919,223,874,223
SP29,936,176,988,176,988,218,936,218
SP30,1032,188,1089,188,1089,233,1032,233
SP31,1132,162,1189,162,1189,213,1132,213
SP32,1203,173,1275,173,1275,237,1203,237
SP33,1284,155,1350,155,1350,214,1284,214
SP34,1355,161,1412,161,1412,212,1355,212
SP35,1438,187,1514,187,1514,255,1438,255
SP36,1504,186,1581,186,1581,255,1504,255
SP37,644,162,673,162,673,188,644,188
SP38,675,173,708,173,708,199,675,199
SP39,1072,164,1126,164,1126,207,1072,207
SP40,1064,137,1099,137,1099,165,1064,165
SP41,1107,134,1153,134,1153,175,1107,175
SP42,1202,141,1244,141,1244,174,1202,174
SP43,1337,131,1375,131,1375,165,1337,165
